id_poradi,id_typ,steno
1142,10,
1160,10,
1161,10,
1162,10,
1163,10,
1164,10,
1165,10,
1166,10,
1167,1,20.0
1168,2,21.0
1169,10,0.0
1170,2,20.0
1171,10,0.0
1172,5,20.0
1173,10,0.0
1174,2,21.0
1175,2,20.0
1176,10,0.0
1177,2,21.0
1178,10,
1179,10,
1180,10,
1181,10,
1182,10,
1183,10,
1184,10,
1185,10,
1186,10,
1187,10,
1188,10,
1189,1,21.0
1190,10,
1191,10,
1192,10,
1193,10,
1194,10,
1195,10,
1196,2,20.0
1197,10,0.0
1198,1,20.0
1199,1,20.0
1200,5,21.0
1201,2,20.0
1202,10,
1203,10,
1204,10,
1205,10,
1206,10,
1207,10,
1208,10,
1209,10,
1210,10,
1211,10,
1212,10,
1213,10,
1214,10,
1215,10,
1216,10,
1217,10,
1218,10,
1219,10,
1220,10,
1221,10,
1222,10,
1223,10,
1224,10,
1225,10,
1226,10,0.0
1227,10,
1228,10,0.0
1229,10,0.0
1230,10,
1231,10,
1232,10,
1233,10,0.0
1234,10,0.0
1235,10,0.0
1236,10,
1237,1,27.0
1238,10,0.0
1239,10,
1240,10,
1241,10,
1242,10,
1243,10,
1244,10,
1245,10,
1246,10,
1247,10,
1248,10,
1249,10,
1250,10,
1251,10,
1252,10,
1253,10,
1254,10,
1255,10,
1256,10,
1257,10,
1258,10,
1259,10,
1260,10,
1261,10,
1262,10,
1263,10,
1264,10,
1265,1,63.0
1266,10,0.0
1267,10,0.0
1268,2,63.0
1269,10,
1270,10,
1271,10,0.0
1272,10,
1273,2,63.0
1274,10,0.0
1275,10,
1276,10,0.0
1277,10,
1278,10,0.0
1279,10,
1280,10,0.0
1281,10,
1282,10,
1283,10,
1284,10,
1285,10,
1286,10,
1287,10,
1288,10,
1289,10,
1290,2,63.0
1291,10,
1292,10,
1293,10,
1294,10,
1295,10,
1296,10,
1297,10,
1298,10,
1299,10,
1300,10,
1301,10,
1302,10,
1303,10,
1304,10,
1305,10,
1306,10,
1307,10,
1308,10,
1309,2,64.0
1310,10,
1311,10,
1312,10,
1313,10,
1314,10,
1315,10,
1316,10,
1317,2,64.0
1318,10,
1319,10,
1320,10,
1321,10,
1322,10,
1323,10,
1324,10,
1325,10,
1326,10,
1327,10,
1328,10,
1329,10,
1330,10,
1331,10,
1332,10,
1333,10,
1334,10,
1335,10,
1336,10,
1337,10,
1338,10,
1339,10,
1340,2,28.0
1341,10,
1342,10,
1343,10,
1344,10,
1345,10,
1346,10,
1347,10,
1348,10,
1349,10,
1350,10,
1351,10,
1352,10,
1353,10,
1354,10,
1355,10,
1356,10,
1357,10,
1358,10,
1359,10,
1360,10,
1361,10,
1362,10,
1363,10,
1364,10,
1365,2,64.0
1366,10,
1367,10,
1368,10,
1369,2,65.0
1370,10,
1371,10,
1372,10,
1373,10,
1374,10,
1375,10,
1376,10,
1377,10,
1378,10,
1379,10,
1380,10,
1381,10,
1382,10,
1383,10,
1384,10,
1385,10,
1386,10,
1387,10,
1388,10,
1389,10,
1390,10,
1391,10,
1392,10,
1393,10,
1394,10,
1395,10,
1396,10,
1397,10,
1398,10,
1399,10,
1400,10,
1401,2,65.0
1402,10,
1403,10,
1404,10,
1405,10,
1406,10,
1407,10,
1408,10,
1409,10,
1410,10,
1411,10,
1412,10,
1413,10,
1414,10,
1415,10,
1416,10,
1417,10,
1418,5,27.0
1419,10,
1420,10,
1421,10,
1422,10,
1423,10,
1424,10,
1425,10,
1426,10,
1427,10,
1428,10,
1429,10,
1430,10,
1431,10,
1432,10,
1433,10,
1434,10,
1435,10,
1436,10,
1437,10,
1438,10,
1439,10,
1440,10,
1441,10,
1442,10,
1443,10,
1444,10,
1445,10,
1446,10,
1447,10,
1448,10,
1449,10,
1450,10,
1451,10,
1452,10,
1453,10,
1454,10,
1455,10,
1456,10,
1457,10,
1458,10,
1459,10,
1460,10,
1461,10,
1462,10,
1463,10,
1464,10,
1465,10,
1466,10,
1467,10,
1468,10,
1469,10,
1470,10,
1471,10,
1472,10,
1473,10,
1474,10,
1475,10,
1476,10,
1477,10,
1478,10,
1479,10,
1480,10,
1481,10,
1482,10,
1483,10,
1484,10,
1485,10,
1486,10,
1487,10,
1488,2,65.0
1489,10,
1490,10,
1491,10,
1492,10,
1493,10,
1494,10,
1495,10,
1496,10,
1497,10,
1498,10,
1499,10,
1500,10,
1501,7,65.0
1502,10,
1503,10,
1504,1,27.0
1505,10,
1506,10,
1507,10,
1508,10,
1509,10,
1510,2,29.0
1511,10,
1512,2,65.0
1513,10,
1514,10,
1515,10,
1516,10,
1517,10,
1518,10,
1519,10,
1520,10,
1521,10,
1522,1,29.0
1523,10,
1524,10,
1525,10,
1526,10,
1527,10,
1528,10,
1529,10,
1530,10,
1531,10,
1532,10,
1533,10,
1534,10,
1535,10,
1536,10,
1537,10,
1538,10,
1539,10,
1540,10,
1541,10,
1542,10,
1543,10,
1544,10,
1545,10,
1546,10,
1547,10,
1548,10,
1549,10,
1550,10,
1551,10,
1552,10,
1553,10,
1554,10,
1555,10,
1556,10,
1557,10,
1558,10,
1559,10,
1560,10,
1561,10,
1562,10,
1563,10,
1564,10,
1565,10,
